"date","hour","activity","workout","keywords","time","i0","i1","i2","i3","i4","i5","distance(km)","climb(m)","intensity","t-intensity","ahr","mhr","controls","spiked","rhr","sleep","weight(kg)","injured","sick","restday","shoes","route","description","private note"
"2010-02-03","12","Styrka","","","00:20:00","","","","00:20:00","","","","","3.0","","","","","","","","","","","","","","Därefter styrka nere i gymmet.",""
"2010-02-03","18","Note","","","","","","","","","","","","","","","","","","","","","","","","","","Hade planerat att köra skidor på kvällen men det fanns inga spår dragna efter all snöfall. 
Jag, sara och Ptr drog till hangaren och klättrade lite istället. Jag var kass...",""
"2010-02-04","18","Skidor","","","01:04:43","","00:01:05","00:05:15","00:15:12","00:33:03","00:10:08","18.531","","3.71","","150","172","","","","","","","","","Atomic RC11","","Skidor i Sya med Ptr, burken och amelie.

Först ett relativt lugnt varv (4.5km) med Ptr och Burken, sen två snabba med hög intensitet och till sist ett lugnt varv igen. Dock inte sista biten då burken ville spurta..",""
"2010-02-05","18","Running","warm up/down","","00:20:00","","","00:20:00","","","","3.5","","2.0","","","","","","","","","","","","Saucony Shay spikeless","","Uppvärmning och kort nedjogg",""
"2010-02-05","18","Running","race","","00:09:27","","","","","","00:09:27","3.0","","5.0","","168","177","","","","","","","","","Saucony Shay spikeless","","3000m i friidrottshallen.

Jag fick springa i andra herrheatet tillsammans med Ptr, Dryml, Pettan, Burken (igen) och ett gäng andra löpare. Liwing agerade hare och vi (jag) beställde en tid på 9.15. Hade som mål att gå under 9.20 så det kändes som en bra fart. 
Jag tog rygg på Liwing och det kändes rätt bra inledningvis. Första km gick på 3.07, alltså liiite långsammare än planerat. Jag fortsatte ligga i rygg på Liwing under andra kilometern och vi två fick en lucka ner till de andra. Andra kilometern gick på nästan samma fart som första (3.08). Sen hoppade Liwing av och jag försökte hålla samma fart. Det var dock svårt och jag tappade farten något när jag inte hade rygg att gå på. 

När det var 1.5 varv kvar hörde jag en frustande Burk i nacken, som sprang även vårt heat (han hade 9.15 på första). Han sprang om och fick några meter på mig och jag spurtade inte jättehårt Sprang in på 9.27 (sista kilometern på 3.12). Dom andra pojkarna bakom mig spurtade dock hårdare och Ptr och Pettan var bara någon sekund efter mig imål. Men jag slog dem ialllafall så:

Martinsson - Ptr: 4- 0",""
"2010-02-06","","Note","","","","","","","","","","","","","","","","","","","","","","","1","","","Resa till Örebro för övernattning i casa del Aronsson inför morgondagens lopp. Någon träning hanns inte med tyvärr..",""
"2010-02-07","10","Skidor","","","02:18:09","","","","00:02:50","01:48:19","00:27:00","41.486","","4.17","","159","171","","","","","","","","","Atomic RC11","","Wadköpingsloppet
25/700 (typ) +16.14 

Kanonfin dag för skidtävling. -6 och strålande sol. Bättre än så här blir det inte...

Jag hade preppat båda mina skidor och vid testerna innan tyckte jag de gamla gled bättre, så det fick bli dom. 

Fick en hyfsad start (var seedad in i led 1) och det var inga bekymmer med trängsel för min del. Efter typ 5km, när spåret var riktigt smalt kom en lurig högerkurva efter en nedförsbacke. Såg att nån åkare framför mig gick omkull och drog med sig åkarna precis före mig också. Jag hade ingen chans att passera så jag valde att köra ut och kasta mig i lössnön för att inte förstöra grejerna. Dom höll, men det tog ett jäkla tag innan jag kom upp. Körde på rätt hårt efter det för att ta ikapp det jag förlorade. 
Körde i en klunga med nästan 15 man under första varvet (första var 15 andra var ca: 27). Den klungan sprack upp och jag hamnade i en klunga med 5 man.

Vi höll ihop upp till toppen i Tomasboda. Där körde jag i, vad jag tror var en energigel, vilket satte sig under en skidan. Tog väldigt mycket på glidet och jag tappade de åkarna jag åkte med. Det tog nån kilometer innan skiten försvann och detta tog på krafterna. Sista milen blev därför slitsam, men jag höll ändå i det rätt bra tycker jag.

Är ganska nöjd med loppet. Betydligt bättre än stråkenloppet.
Spöade alla andra orienterare från linkan iallafall...

Martinsson - Ptr: 5- 0

Resultat: http://www.karlslundsif.org/docs/ResultWadk2010.pdf

",""
"2010-02-07","10","Note","","","","","","","","","","","","","","","","","","","","","","","","","","Noterbart:
Sara ställde idag upp i skidlopp i Hackefors över 20km. Hon försvarade ""familjens"" färger ypperligt och kunde plocka hem en seger i damklassen. Mycket bra kört!",""
"2010-02-08","18","Styrka","","","00:50:00","","","","00:50:00","","","","","3.0","","","","","","","","","","","","","","Rockgympa med LOK.
Sliten i kroppen efter gårdagen.",""
"2010-02-09","18","Skidor","","","01:22:05","","00:00:45","00:01:27","00:24:33","00:55:20","","24.513","","3.64","","146","160","","","","","","","","","Madshus Nanosonic","","Skidor i Sya med Sara. (Ptr klenade ur)

Ville testa milspåret innan loppet på söndag. Spåret gjorde tre avkrokar från elljuspåret, och samtliga gick på åkrar. Lätt bana med mycket stakning med andra ord. 
Körde 2.5 varv i hyfsad fart.",""
"2010-02-10","11","Running","","","00:16:00","","","","","","00:16:00","5.0","","5.0","","152","167","","","","","","","","","Puma Trailfox III","","Lunchträning. Km-intervaller på bussgatan.

Första tillsammans med Figge, sedan fick han ont och sackade efter. Jag fullföljde enligt planen och körde 5st. Alla gick mellan 3.10 och 3.15. ",""
"2010-02-10","11","Running","warm up/down","","00:16:30","","","","00:16:30","","","3.6","","3.0","","","","","","","","","","","","Puma Trailfox III","","Uppvärmning och kort nedjogg.",""
"2010-02-10","18","Skidor","","","00:51:26","","00:00:24","00:00:23","00:21:46","00:21:46","00:07:07","14.97","","3.68","","148","169","","","","","","","","","Atomic RC11","","VIlses Skid-Km i Olstorp, 10km (4x2.5km)

Tid:31.24
Plac: 2/18 +0.40 (Jacob Wallenhammar)

Kände redan första varvet att jag var sliten. Försökte ändå trycka på hyfsat men hade ingen kraft i åkningen. Tog på krafterna att köra om folk hela tiden också. Är inte nöjd...
Var 40 sek efter Jacob W och delade andra platsen med Albert M. 

Blev ett varv före och ett efter också.

Resultat: http://vilse.studorg.liu.se/nyheter/nyhet.php?id=550",""
"2010-02-11","17","Löpning terräng","","","00:25:30","","","","","00:25:30","","3.3","","4.0","","145","159","","","","","","","","","Inov8 Mudclaw 270 II","","Snöpulsintervaller med LOK i skogen ut mot Tinnerö. Vi sprang fram och tillbaka i typ 3min (400m). Sista intervallen körde vi utanför det upptrampade spåret. Jobbigt för låren...",""
"2010-02-11","17","Running","warm up/down","","00:26:09","","","","00:26:09","","","4.9","","3.0","","","","","","","","","","","","Inov8 Mudclaw 270 II","","Uppvärmning samt snabb nedjogg eftersom jag ville få tillbaka känseln i mina tår.",""
"2010-02-12","17","Running","race","","00:04:23","","","","","","00:04:23","1.5","","5.0","","158","172","","","","","","","","","Saucony Shay spikeless","","Dags för nästa KM med Akele/LiU Elitidrott. Den här gången 1500 meter inne i campushallen. Fick springa i heat 2 där det var jag, Ptr, Dryml, Burken (som sprang sitt andra race), en till snabb och lite annat löst folk. 

Ptr tog täten de första 2 1/2 varven. Jag kände mig dock stark och gick om och gjorde en tempoökning. Fick en lucka ner till de andra. Körde på i hög men kontrollerad fart. Eftersom jag inte har någon bra spurt plockade de andra in ganska mycket på sista varvet, men jag höll ändå undan och vann heatet på 4.23.

Martinsson - Ptr: 6-0",""
"2010-02-12","17","Running","intervals","","00:03:50","","","","","00:03:50","","1.4","","4.0","","","","","","","","","","","","Saucony Shay spikeless","","Blev ett gäng (6st) 200m intervaller efter loppet.",""
"2010-02-12","17","Running","warm up/down","","00:26:30","","","00:26:30","","","","4.5","","2.0","","","","","","","","","","","","Saucony Shay spikeless","","Uppvärmning, jogg efter loppet, samt nedjogg.",""
"2010-02-13","11","Running","","","01:34:03","","00:02:32","00:25:00","00:15:50","00:50:41","","17.867","","3.22","","135","158","","","","","","","","","Puma Trailfox III","","Jag och Ptr valde att köra Jacs träning eftersom vi missade den förra helgen. Först sprang vi till Lambo, körde en ganska lång sprintbana där (jag var en bit före Ptr), sedan lite lugnare transport upp till Garnisonen där nästa sprintbana tog vid. Jag fick en lucka på Ptr när han gav sig ut och pulsade i snön. Vi skippade den sista sprinten vid uni eftersom jag hade en del saker att fixa på eftermiddagen.",""
